epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.366,1.31462,2.25862,1.14043,0.85138,0.80606,0.83716,0.58367,1.11153,1.31715,1.06112,0.000664141,0.000664141,0.000664141
2,274.234,1.29056,1.34878,1.10523,0.87494,0.79397,0.87191,0.58944,1.18223,1.01179,1.10747,0.00131763,0.00131763,0.00131763
3,330.815,1.28439,1.10666,1.11048,0.89589,0.8995,0.92087,0.62767,1.15009,0.82489,1.11426,0.00195792,0.00195792,0.00195792
4,387.489,1.23659,0.96672,1.09863,0.92004,0.87437,0.91739,0.6169,1.16209,0.79952,1.12657,0.0019406,0.0019406,0.0019406
5,443.736,1.19906,0.8989,1.08431,0.93138,0.8794,0.92128,0.65825,1.03764,0.68514,1.05782,0.0019208,0.0019208,0.0019208
6,500.097,1.18595,0.85373,1.07002,0.92338,0.90452,0.93325,0.67199,1.0543,0.67025,1.03478,0.001901,0.001901,0.001901
7,556.663,1.13692,0.79377,1.05168,0.96387,0.93849,0.94461,0.67008,1.01575,0.64627,1.03441,0.0018812,0.0018812,0.0018812
8,612.568,1.14956,0.77905,1.06541,0.95546,0.90955,0.94142,0.66439,1.075,0.64769,1.05065,0.0018614,0.0018614,0.0018614
9,668.718,1.10776,0.7552,1.0366,0.96172,0.91457,0.94131,0.69713,0.99891,0.60838,1.04317,0.0018416,0.0018416,0.0018416
10,725.408,1.09743,0.73681,1.04071,0.93204,0.93467,0.93983,0.67207,1.07276,0.62603,1.05849,0.0018218,0.0018218,0.0018218
11,782.174,1.06925,0.71775,1.02791,0.94816,0.9397,0.955,0.71014,1.0047,0.56276,1.03437,0.001802,0.001802,0.001802
12,838.438,1.04548,0.70205,1.01926,0.9662,0.8995,0.94006,0.68522,1.04587,0.63501,1.05852,0.0017822,0.0017822,0.0017822
13,894.654,1.05063,0.67345,1.0158,0.95338,0.90955,0.9441,0.70125,0.96954,0.58966,1.04734,0.0017624,0.0017624,0.0017624
14,951.11,1.02053,0.65243,1.00588,0.95799,0.91675,0.94944,0.7169,0.96765,0.57822,1.05357,0.0017426,0.0017426,0.0017426
15,1007.4,1.00805,0.64878,1.00134,0.95617,0.9196,0.94239,0.69594,0.95487,0.58331,1.0462,0.0017228,0.0017228,0.0017228
16,1063.61,1.01166,0.63595,1.00941,0.95946,0.92965,0.94564,0.69146,1.00481,0.58213,1.05769,0.001703,0.001703,0.001703
17,1120.3,1.00196,0.63889,0.99361,0.97215,0.9397,0.95427,0.71907,0.96152,0.54594,1.0343,0.0016832,0.0016832,0.0016832
18,1177.02,0.99945,0.62375,0.99936,0.94525,0.95443,0.95364,0.72334,0.95517,0.54047,1.02692,0.0016634,0.0016634,0.0016634
19,1233.74,0.97244,0.62975,0.99146,0.94288,0.93467,0.94835,0.70092,0.97903,0.56137,1.05848,0.0016436,0.0016436,0.0016436
20,1289.93,0.97406,0.60611,0.9903,0.94791,0.94472,0.94586,0.69676,1.01617,0.56278,1.06982,0.0016238,0.0016238,0.0016238
21,1346.14,0.9686,0.60282,0.98823,0.96859,0.9299,0.95415,0.71778,0.94206,0.52569,1.03449,0.001604,0.001604,0.001604
22,1403.29,0.96296,0.58853,0.98873,0.95646,0.9196,0.95364,0.74266,0.90407,0.50604,1.00762,0.0015842,0.0015842,0.0015842
23,1461.59,0.95018,0.56744,0.97306,0.95954,0.9533,0.95586,0.7151,0.93337,0.50648,1.0297,0.0015644,0.0015644,0.0015644
24,1517.8,0.92554,0.56118,0.97647,0.95463,0.95164,0.96618,0.73427,0.95413,0.51022,1.03393,0.0015446,0.0015446,0.0015446
25,1573.79,0.93691,0.57025,0.97631,0.95878,0.94975,0.9606,0.74241,0.8886,0.50358,1.01129,0.0015248,0.0015248,0.0015248
26,1630.19,0.92825,0.55334,0.96643,0.97883,0.92916,0.95855,0.73116,0.91039,0.5111,0.99811,0.001505,0.001505,0.001505
27,1686.41,0.91721,0.54782,0.96695,0.97371,0.94975,0.95706,0.73319,0.90858,0.5128,1.04506,0.0014852,0.0014852,0.0014852
28,1742.64,0.92699,0.55632,0.97502,0.9495,0.94485,0.95145,0.71656,0.97389,0.51639,1.0212,0.0014654,0.0014654,0.0014654
29,1798.99,0.92645,0.55959,0.97484,0.96882,0.9397,0.9479,0.6914,1.02133,0.53797,1.0487,0.0014456,0.0014456,0.0014456
30,1855.12,0.89784,0.53364,0.95824,0.9678,0.94975,0.96098,0.73428,0.93617,0.48346,1.01904,0.0014258,0.0014258,0.0014258
31,1911.21,0.89679,0.54157,0.95744,0.97284,0.94975,0.9567,0.73777,0.88447,0.47326,1.01273,0.001406,0.001406,0.001406
32,1967.36,0.88965,0.53833,0.95805,0.96359,0.96482,0.96509,0.73865,0.91093,0.46981,1.01846,0.0013862,0.0013862,0.0013862
33,2023.68,0.87715,0.52288,0.94713,0.96273,0.94472,0.96208,0.73968,0.94407,0.48583,1.02452,0.0013664,0.0013664,0.0013664
34,2079.96,0.87006,0.50501,0.94845,0.95915,0.94382,0.95805,0.72702,0.92657,0.48787,1.0232,0.0013466,0.0013466,0.0013466
35,2136.35,0.87545,0.51183,0.95008,0.96611,0.93467,0.9546,0.74251,0.88545,0.49288,1.00819,0.0013268,0.0013268,0.0013268
36,2192.67,0.8689,0.50997,0.94671,0.97213,0.95477,0.96335,0.73157,0.92698,0.47252,1.00984,0.001307,0.001307,0.001307
37,2248.72,0.84454,0.49131,0.94057,0.96421,0.95477,0.95711,0.732,0.9103,0.47905,1.02578,0.0012872,0.0012872,0.0012872
