epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5977,1.76012,1.83081,1.32589,0.858,0.8191,0.85047,0.50944,1.34948,1.04871,1.14799,0.0670626,0.000332701,0.000332701
2,71.5751,1.56556,1.23819,1.22627,0.92268,0.81407,0.89332,0.55225,1.34156,1.01067,1.13234,0.034056,0.00065944,0.00065944
3,104.631,1.53805,1.12757,1.21049,0.93146,0.8794,0.92758,0.55428,1.29906,0.92676,1.12666,0.00104283,0.00097958,0.00097958
4,143.521,1.48367,1.05484,1.18287,0.95091,0.87609,0.92461,0.51743,1.52788,0.8121,1.19889,0.0009703,0.0009703,0.0009703
5,174.782,1.41676,0.97411,1.15128,0.92292,0.91457,0.92866,0.58836,1.30014,0.79012,1.11308,0.0009604,0.0009604,0.0009604
6,205.44,1.42346,0.97704,1.15433,0.94776,0.91169,0.93924,0.51934,1.54318,0.76577,1.19466,0.0009505,0.0009505,0.0009505
7,236.929,1.39335,0.91377,1.13678,0.94271,0.90949,0.93083,0.55475,1.44279,0.74384,1.16776,0.0009406,0.0009406,0.0009406
8,267.809,1.42122,0.93821,1.14047,0.94871,0.92462,0.94477,0.6085,1.25518,0.67603,1.0953,0.0009307,0.0009307,0.0009307
9,298.843,1.33606,0.88302,1.11089,0.96115,0.90955,0.93375,0.62568,1.20017,0.71217,1.06509,0.0009208,0.0009208,0.0009208
10,329.96,1.31929,0.84937,1.10185,0.95872,0.93372,0.94955,0.5082,1.55847,0.74553,1.18445,0.0009109,0.0009109,0.0009109
11,361.758,1.32445,0.86258,1.1099,0.95788,0.91427,0.95112,0.57702,1.30092,0.66139,1.10412,0.000901,0.000901,0.000901
12,393.403,1.29869,0.81004,1.10375,0.95302,0.93467,0.94305,0.59795,1.27501,0.65804,1.10127,0.0008911,0.0008911,0.0008911
13,424.69,1.29588,0.79972,1.09492,0.9439,0.92996,0.94635,0.56452,1.35462,0.67662,1.11672,0.0008812,0.0008812,0.0008812
14,455.817,1.29422,0.79125,1.08617,0.95277,0.91457,0.93653,0.60941,1.20908,0.63044,1.09063,0.0008713,0.0008713,0.0008713
15,488.582,1.30207,0.79612,1.09077,0.9496,0.94684,0.9544,0.59181,1.34037,0.61242,1.11282,0.0008614,0.0008614,0.0008614
16,519.162,1.25857,0.78441,1.07601,0.95531,0.92965,0.95084,0.60766,1.27951,0.64139,1.08402,0.0008515,0.0008515,0.0008515
17,550.55,1.26718,0.79157,1.07813,0.9683,0.92089,0.95426,0.58909,1.31282,0.64232,1.10942,0.0008416,0.0008416,0.0008416
18,581.552,1.26027,0.75568,1.09156,0.96877,0.93544,0.95957,0.64142,1.21335,0.58986,1.05367,0.0008317,0.0008317,0.0008317
19,614.942,1.25471,0.75135,1.08056,0.95376,0.93291,0.95344,0.63495,1.21674,0.64609,1.06231,0.0008218,0.0008218,0.0008218
20,646.641,1.24815,0.76806,1.07418,0.96322,0.92462,0.95545,0.61312,1.29461,0.59322,1.07631,0.0008119,0.0008119,0.0008119
21,677.843,1.22118,0.72772,1.06352,0.94822,0.90955,0.95397,0.66303,1.12327,0.59115,1.03136,0.000802,0.000802,0.000802
22,709.308,1.20565,0.72026,1.05138,0.95369,0.9313,0.94984,0.65927,1.12626,0.58164,1.03789,0.0007921,0.0007921,0.0007921
23,742.063,1.221,0.73893,1.06235,0.95352,0.92775,0.95689,0.66514,1.11162,0.5756,1.0274,0.0007822,0.0007822,0.0007822
24,775.315,1.20922,0.71344,1.05622,0.95864,0.93169,0.95159,0.64404,1.1492,0.59516,1.03543,0.0007723,0.0007723,0.0007723
25,873.92,1.19697,0.72954,1.05886,0.9539,0.93573,0.96099,0.6396,1.16023,0.61281,1.04714,0.0007624,0.0007624,0.0007624
26,959.845,1.21278,0.72952,1.05809,0.9624,0.93467,0.95777,0.65077,1.13771,0.56552,1.02894,0.0007525,0.0007525,0.0007525
27,1012.23,1.19091,0.72621,1.05309,0.95375,0.9326,0.95019,0.64321,1.16943,0.58733,1.04988,0.0007426,0.0007426,0.0007426
28,1100.9,1.19264,0.70483,1.04813,0.93062,0.92965,0.93595,0.61423,1.18498,0.58736,1.05783,0.0007327,0.0007327,0.0007327
29,1196.61,1.17076,0.67977,1.04934,0.92943,0.92655,0.95409,0.63243,1.15444,0.62089,1.0412,0.0007228,0.0007228,0.0007228
